taxon_name,family,species_author,mesaglio_2024,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,dispersal_coarse
Brunoniella australis,Acanthaceae,Brunoniella australis (Cav.) Bremek.,yes,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Brunoniella pumilio,Acanthaceae,Brunoniella pumilio (R.Br.) Bremek.,yes,0.09,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Alternanthera denticulata,Amaranthaceae,Alternanthera denticulata R.Br.,yes,0.9,hydrochory,herb,perennial,c3,fire_killed,yes,persister,abiotic
Centella asiatica,Apiaceae,Centella asiatica (L.) Urb.,yes,0.4,barochory,herb,perennial,c3,resprouting_possible,yes,persister,abiotic
Parsonsia straminea,Apocynaceae,Parsonsia straminea (R.Br.) F.Muell.,no,30,anemochory,climber_woody,perennial,c3,resprouting_possible,no,extinct,abiotic
Vincetoxicum barbatum,Apocynaceae,Vincetoxicum barbatum (R.Br.) Kuntze,yes,2,anemochory,climber,perennial,c3,resprouting_possible,no,persister,abiotic
Hydrocotyle sibthorpioides,Araliaceae,Hydrocotyle sibthorpioides Lam.,yes,0.15,mixed,herb,perennial,c3,resprouting_possible,yes,persister,mixed
Polyscias sambucifolia,Araliaceae,Polyscias sambucifolia (Sieber ex DC.) Harms,yes,11,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Lomandra fluviatilis,Asparagaceae,Lomandra fluviatilis (R.Br.) A.T.Lee,no,0.75,mixed,herb,perennial,c3,resprouting_possible,yes,extinct,mixed
Arthropodium minus,Asparagaceae,Arthropodium minus R.Br.,no,0.55,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Arthropodium strictum,Asparagaceae,Arthropodium strictum R.Br.,no,1.2,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Thysanotus tuberosus,Asparagaceae,Thysanotus tuberosus R.Br.,yes,0.7,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Lomandra filiformis,Asparagaceae,Lomandra filiformis (Thunb.) Britten,yes,0.54,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Lomandra longifolia,Asparagaceae,Lomandra longifolia Labill.,yes,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Lomandra multiflora,Asparagaceae,Lomandra multiflora (R.Br.) Britten,yes,0.3,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Eustrephus latifolius,Asparagaceae,Eustrephus latifolius R.Br.,yes,10,endozoochory,climber,perennial,c3,resprouting_possible,no,persister,biotic
Laxmannia gracilis,Asparagaceae,Laxmannia gracilis R.Br.,yes,0.4,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Brachyscome graminea,Asteraceae,Brachyscome graminea (Labill.) F.Muell.,no,0.7,zoochory,herb,perennial,c3,resprouting_possible,no,extinct,biotic
Coronidium scorpioides,Asteraceae,Coronidium scorpioides (Labill.) Paul G.Wilson,no,0.901,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Euchiton japonicus,Asteraceae,Euchiton japonicus (Thunb.) Holub,no,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Vittadinia muelleri,Asteraceae,Vittadinia muelleri N.T.Burb.,no,0.3,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Sphaeromorphaea australis,Asteraceae,Sphaeromorphaea australis (Less.) Kitam.,no,0.3,epizoochory,herb,perennial,c3,fire_killed,no,extinct,biotic
Senecio linearifolius,Asteraceae,Senecio linearifolius A.Rich.,no,2,anemochory,subshrub,perennial,c3,fire_killed,no,extinct,abiotic
Picris angustifolia,Asteraceae,Picris angustifolia DC.,no,1.4,anemochory,herb,perennial,c3,fire_killed,no,extinct,abiotic
Senecio quadridentatus,Asteraceae,Senecio quadridentatus Labill.,no,1.5,anemochory,herb,perennial,c3,fire_killed,no,extinct,abiotic
Senecio bathurstianus,Asteraceae,Senecio bathurstianus (DC.) Sch.Bip.,no,1.5,anemochory,herb,annual,c3,fire_killed,no,extinct,abiotic
Centipeda minima,Asteraceae,Centipeda minima (L.) A.Braun & Asch.,yes,0.2,epizoochory,herb,perennial,c3,fire_killed,yes,persister,biotic
Brachyscome triloba,Asteraceae,Brachyscome triloba Gaudich.,yes,0.32,zoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Lagenophora sublyrata,Asteraceae,Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,yes,0.07,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Solenogyne bellioides,Asteraceae,Solenogyne bellioides Cass.,yes,0.18,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Calotis lappulacea,Asteraceae,Calotis lappulacea Benth.,yes,0.5,epizoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Calotis cuneifolia,Asteraceae,Calotis cuneifolia R.Br.,yes,0.6,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Vittadinia cuneata,Asteraceae,Vittadinia cuneata DC.,yes,0.4,anemochory,subshrub,perennial,c3,resprouting_possible,no,persister,abiotic
Olearia microphylla,Asteraceae,Olearia microphylla (Vent.) Maiden & Betche,yes,2,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Olearia viscidula,Asteraceae,Olearia viscidula (F.Muell.) Benth.,yes,2.5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Ozothamnus diosmifolius,Asteraceae,Ozothamnus diosmifolius (Vent.) DC.,yes,5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Chrysocephalum apiculatum,Asteraceae,Chrysocephalum apiculatum (Labill.) Steetz,yes,0.8,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Senecio hispidulus,Asteraceae,Senecio hispidulus A.Rich.,yes,1.5,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Glossocardia bidens,Asteraceae,Glossocardia bidens (Retz.) Veldkamp,yes,0.5,epizoochory,herb,perennial,c4,fire_killed,no,persister,biotic
Cotula australis,Asteraceae,Cotula australis (Sieber ex Spreng.) Hook.f.,yes,0.2,mixed,herb,perennial,c3,fire_killed,no,persister,mixed
Cassinia sifton,Asteraceae,Cassinia sifton Orchard,yes,2,anemochory,shrub,perennial,c3,fire_killed,no,persister,abiotic
Cyanthillium cinereum,Asteraceae,Cyanthillium cinereum (L.) H.Rob.,yes,1.25,anemochory,herb,annual,c3,fire_killed,no,persister,abiotic
Euchiton sphaericus,Asteraceae,Euchiton sphaericus (Willd.) Holub,yes,1,anemochory,herb,annual,c3,fire_killed,no,persister,abiotic
Pseudognaphalium luteoalbum,Asteraceae,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,yes,0.7,anemochory,herb,annual,c3,fire_killed,no,persister,abiotic
Triptilodiscus pygmaeus,Asteraceae,Triptilodiscus pygmaeus Turcz.,yes,0.2,anemochory,herb,annual,c3,fire_killed,no,persister,abiotic
Pandorea pandorana,Bignoniaceae,Pandorea pandorana (Andrews) Steenis,yes,43,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister,abiotic
Cardamine lilacina,Brassicaceae,Cardamine lilacina Hook.,no,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,extinct,biotic
Isotoma fluviatilis,Campanulaceae,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,no,0.1,zoochory,herb,perennial,c3,resprouting_possible,yes,extinct,biotic
Wahlenbergia capillaris,Campanulaceae,Wahlenbergia capillaris (G.Lodd.) G.Don,no,0.75,mixed,herb,perennial,c3,resprouting_possible,no,extinct,mixed
Wahlenbergia stricta,Campanulaceae,Wahlenbergia stricta (R.Br.) Sweet,no,0.9,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Lobelia anceps,Campanulaceae,Lobelia anceps L.f.,yes,1.2,mixed,herb,perennial,c3,resprouting_possible,yes,persister,mixed
Lobelia purpurascens,Campanulaceae,Lobelia purpurascens R.Br.,yes,0.28,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Wahlenbergia gracilis,Campanulaceae,Wahlenbergia gracilis (G.Forst.) A.DC.,yes,0.8,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Casuarina glauca,Casuarinaceae,Casuarina glauca Sieber ex Spreng.,yes,20,anemochory,tree,perennial,c3,resprouting_possible,yes,persister,abiotic
Allocasuarina torulosa,Casuarinaceae,Allocasuarina torulosa (Aiton) L.A.S.Johnson,yes,20,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Denhamia silvestris,Celastraceae,Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,yes,15,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Stackhousia muricata,Celastraceae,Stackhousia muricata Lindl.,yes,0.6,zoochory,herb,perennial,c3,fire_killed,no,persister,biotic
Maireana microphylla,Chenopodiaceae,Maireana microphylla (Moq.) Paul G.Wilson,no,1,anemochory,shrub,perennial,c4,fire_killed,no,extinct,abiotic
Dysphania littoralis,Chenopodiaceae,Dysphania littoralis R.Br.,no,0.1,mixed,herb,short_lived_perennial,c3,fire_killed,no,extinct,mixed
Einadia nutans,Chenopodiaceae,Einadia nutans (R.Br.) A.J.Scott,no,1,endozoochory,herb,perennial,c3,fire_killed,no,extinct,biotic
Einadia polygonoides,Chenopodiaceae,Einadia polygonoides (Murr) Paul G.Wilson,yes,0.14,zoochory,herb,perennial,c3,fire_killed,no,persister,biotic
Einadia trigonos,Chenopodiaceae,Einadia trigonos (Schult.) Paul G.Wilson,yes,0.81,zoochory,herb,perennial,c3,fire_killed,no,persister,biotic
Einadia hastata,Chenopodiaceae,Einadia hastata (R.Br.) A.J.Scott,yes,2,endozoochory,herb,perennial,c3,fire_killed,no,persister,biotic
Commelina cyanea,Commelinaceae,Commelina cyanea R.Br.,yes,0.1,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Polymeria calycina,Convolvulaceae,Polymeria calycina R.Br.,yes,0.8,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Dichondra repens,Convolvulaceae,Dichondra repens J.R.Forst. & G.Forst.,yes,0.1,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Crassula sieberiana,Crassulaceae,Crassula sieberiana (Schult. & Schult.f.) Druce,yes,0.2,anemochory,herb,perennial,cam,resprouting_possible,no,persister,abiotic
Cyperus polystachyos,Cyperaceae,Cyperus polystachyos Rottb.,no,0.6,hydrochory,graminoid,perennial,c4,resprouting_possible,yes,extinct,abiotic
Eleocharis acuta,Cyperaceae,Eleocharis acuta R.Br.,no,0.9,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Bolboschoenus caldwellii,Cyperaceae,Bolboschoenus caldwellii (V.J.Cook) Soják,no,1.2,endozoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Cyperus mirus,Cyperaceae,Cyperus mirus C.B.Clarke,no,0.55,hydrochory,graminoid,perennial,c3,NA,yes,extinct,abiotic
Lepidosperma lineare,Cyperaceae,Lepidosperma lineare R.Br.,no,0.6,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Schoenus apogon,Cyperaceae,Schoenus apogon Roem. & Schult.,yes,0.25,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister,mixed
Isolepis cernua,Cyperaceae,Isolepis cernua (Vahl) Roem. & Schult.,yes,0.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,persister,biotic
Lepidosperma laterale,Cyperaceae,Lepidosperma laterale R.Br.,yes,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Carex inversa,Cyperaceae,Carex inversa R.Br.,yes,0.75,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Gahnia aspera,Cyperaceae,Gahnia aspera (R.Br.) Spreng.,yes,0.4,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Gahnia melanocarpa,Cyperaceae,Gahnia melanocarpa R.Br.,yes,2,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Pteridium esculentum,Dennstaedtiaceae,Pteridium esculentum (G.Forst.) Cockayne,yes,2.5,anemochory,fern,perennial,c3,resprouting_possible,no,persister,abiotic
Hibbertia diffusa,Dilleniaceae,Hibbertia diffusa R.Br. ex DC.,yes,0.5,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hibbertia pedunculata,Dilleniaceae,Hibbertia pedunculata R.Br. ex DC.,yes,0.4,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hibbertia aspera,Dilleniaceae,Hibbertia aspera DC.,yes,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Drosera peltata,Droseraceae,Drosera peltata Thunb.,yes,0.8,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Astroloma humifusum,Ericaceae,Astroloma humifusum (Cav.) R.Br.,no,0.7,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Leucopogon affinis,Ericaceae,Leucopogon affinis R.Br.,yes,3,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Leucopogon juniperinus,Ericaceae,Leucopogon juniperinus R.Br.,yes,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Lissanthe strigosa,Ericaceae,Lissanthe strigosa (Sm.) R.Br.,yes,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Euphorbia drummondii,Euphorbiaceae,Euphorbia drummondii Boiss.,no,0.3,barochory,herb,perennial,c4,fire_killed,no,extinct,abiotic
Homalanthus populifolius,Euphorbiaceae,Homalanthus populifolius Graham,yes,12,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Acacia stricta,Fabaceae,Acacia stricta (Andrews) Willd.,no,6,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct,biotic
Gompholobium glabratum,Fabaceae,Gompholobium glabratum DC.,no,0.4,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Pultenaea retusa,Fabaceae,Pultenaea retusa Sm.,no,1,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct,biotic
Acacia brownii,Fabaceae,Acacia brownii (Poir.) Steud.,yes,1,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia decurrens,Fabaceae,Acacia decurrens Willd.,yes,15,myrmecochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Bossiaea prostrata,Fabaceae,Bossiaea prostrata R.Br.,yes,1.5,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister,biotic
Hovea linearis,Fabaceae,Hovea linearis (Sm.) R.Br.,yes,1.2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia pubescens,Fabaceae,Acacia pubescens (Vent.) R.Br.,yes,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia ulicifolia,Fabaceae,Acacia ulicifolia (Salisb.) Court,yes,2.19,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Bossiaea buxifolia,Fabaceae,Bossiaea buxifolia A.Cunn.,yes,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Chorizema parviflorum,Fabaceae,Chorizema parviflorum Benth.,yes,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Daviesia ulicifolia,Fabaceae,Daviesia ulicifolia Andrews,yes,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Dillwynia sieberi,Fabaceae,Dillwynia sieberi Steud.,yes,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hardenbergia violacea,Fabaceae,Hardenbergia violacea (Schneev.) Stearn,yes,2.5,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister,biotic
Kennedia rubicunda,Fabaceae,Kennedia rubicunda (Schneev.) Vent.,yes,1.71,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister,biotic
Glycine microphylla,Fabaceae,Glycine microphylla (Benth.) Tindale,yes,0.3,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Glycine clandestina,Fabaceae,Glycine clandestina J.C.Wendl.,yes,2,mixed,climber,perennial,c3,resprouting_possible,no,persister,mixed
Glycine tabacina,Fabaceae,Glycine tabacina (Labill.) Benth.,yes,0.3,mixed,climber,perennial,c3,resprouting_possible,no,persister,mixed
Jacksonia scoparia,Fabaceae,Jacksonia scoparia R.Br.,yes,12,epizoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Desmodium rhytidophyllum,Fabaceae,Desmodium rhytidophyllum F.Muell. ex Benth.,yes,0.2,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Desmodium varians,Fabaceae,Desmodium varians (Labill.) G.Don,yes,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Zornia dyctiocarpa,Fabaceae,Zornia dyctiocarpa DC.,yes,0.3,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Indigofera australis,Fabaceae,Indigofera australis Willd.,yes,2.5,barochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Acacia binervia,Fabaceae,Acacia binervia (J.C.Wendl.) J.F.Macbr.,yes,16,zoochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia falcata,Fabaceae,Acacia falcata Willd.,yes,5,zoochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia longifolia,Fabaceae,Acacia longifolia (Andrews) Willd.,yes,10,myrmecochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia parramattensis,Fabaceae,Acacia parramattensis Tindale,yes,15,myrmecochory,tree,perennial,c3,fire_killed,no,persister,biotic
Pultenaea villosa,Fabaceae,Pultenaea villosa Willd.,yes,2.13,myrmecochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Geranium solanderi,Geraniaceae,Geranium solanderi Carolin,yes,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Pelargonium inodorum,Geraniaceae,Pelargonium inodorum Willd.,yes,0.4,mixed,herb,short_lived_perennial,c3,fire_killed,no,persister,mixed
Goodenia ovata,Goodeniaceae,Goodenia ovata Sm.,no,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Goodenia bellidifolia,Goodeniaceae,Goodenia bellidifolia Sm.,no,0.6,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct,biotic
Goodenia paniculata,Goodeniaceae,Goodenia paniculata Sm.,yes,0.5,myrmecochory,herb,perennial,c3,resprouting_possible,yes,persister,biotic
Goodenia hederacea,Goodeniaceae,Goodenia hederacea Sm.,yes,0.8,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Scaevola albida,Goodeniaceae,Scaevola albida (Sm.) Druce,yes,0.5,mixed,herb,perennial,c3,fire_killed,no,persister,mixed
Gonocarpus tetragynus,Haloragaceae,Gonocarpus tetragynus Labill.,no,0.4,barochory,subshrub,perennial,c3,resprouting_possible,no,extinct,abiotic
Tricoryne simplex,Hemerocallidaceae,Tricoryne simplex R.Br.,no,0.3,mixed,herb,perennial,c3,resprouting_possible,no,extinct,mixed
Tricoryne elatior,Hemerocallidaceae,Tricoryne elatior R.Br.,no,0.7,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Caesia parviflora,Hemerocallidaceae,Caesia parviflora R.Br.,yes,0.5,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella caerulea,Hemerocallidaceae,Dianella caerulea Sims,yes,2,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella longifolia,Hemerocallidaceae,Dianella longifolia R.Br.,yes,1.5,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella revoluta,Hemerocallidaceae,Dianella revoluta R.Br.,yes,1.5,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Hypericum gramineum,Hypericaceae,Hypericum gramineum G.Forst.,yes,0.5,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Hypoxis hygrometrica,Hypoxidaceae,Hypoxis hygrometrica Labill.,yes,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Juncus mollis,Juncaceae,Juncus mollis L.A.S.Johnson,no,1.45,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus procerus,Juncaceae,Juncus procerus E.Mey.,no,2.5,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus vaginatus,Juncaceae,Juncus vaginatus R.Br.,no,1.7,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus continuus,Juncaceae,Juncus continuus L.A.S.Johnson,no,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus polyanthemus,Juncaceae,Juncus polyanthemus Buchenau,no,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus remotiflorus,Juncaceae,Juncus remotiflorus L.A.S.Johnson,no,0.7,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus homalocaulis,Juncaceae,Juncus homalocaulis F.Muell. ex Benth.,no,0.4,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct,mixed
Juncus usitatus,Juncaceae,Juncus usitatus L.A.S.Johnson,yes,1.2,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister,mixed
Juncus planifolius,Juncaceae,Juncus planifolius R.Br.,yes,0.75,barochory,graminoid,perennial,c3,resprouting_possible,yes,persister,abiotic
Juncus bufonius,Juncaceae,Juncus bufonius L.,yes,0.3,barochory,graminoid,annual,c3,fire_killed,yes,persister,abiotic
Juncus subsecundus,Juncaceae,Juncus subsecundus N.A.Wakef.,yes,1,mixed,graminoid,perennial,c3,resprouting_possible,no,persister,mixed
Triglochin striata,Juncaginaceae,Triglochin striata Ruiz & Pav.,yes,0.5,hydrochory,herb,perennial,c3,resprouting_possible,yes,persister,abiotic
Mentha diemenica,Lamiaceae,Mentha diemenica Spreng.,yes,0.5,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Plectranthus parviflorus,Lamiaceae,Plectranthus parviflorus Willd.,yes,1,endozoochory,shrub,perennial,cam,fire_killed,no,persister,biotic
Cassytha glabella,Lauraceae,Cassytha glabella R.Br.,no,1,endozoochory,climber,perennial,c3,fire_killed,no,extinct,biotic
Cassytha paniculata,Lauraceae,Cassytha paniculata R.Br.,yes,0.4,endozoochory,climber,perennial,c3,fire_killed,no,persister,biotic
Linum marginale,Linaceae,Linum marginale A.Cunn.,yes,1.2,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
