taxon_name,resprouting_capacity
Homalanthus populifolius,fire_killed resprouts
Hovea linearis,resprouts
Hovea linearis,resprouts
Hovea linearis,resprouts
Hovea linearis,resprouts
Hovea linearis,fire_killed resprouts
Hydrocotyle sibthorpioides,resprouts
Hydrocotyle sibthorpioides,resprouts
Hydrocotyle sibthorpioides,resprouts
Hydrocotyle sibthorpioides,resprouts
Hypericum gramineum,resprouts
Hypericum gramineum,resprouts
Hypericum gramineum,resprouts
Hypericum gramineum,resprouts
Hypericum gramineum,fire_killed resprouts
Hypericum gramineum,resprouts
Hypoxis hygrometrica,resprouts
Hypoxis hygrometrica,resprouts
Hypoxis hygrometrica,resprouts
Hypoxis hygrometrica,resprouts
Hypoxis hygrometrica,resprouts
Hypoxis hygrometrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Imperata cylindrica,resprouts
Indigofera australis,resprouts
Indigofera australis,resprouts
Indigofera australis,resprouts
Indigofera australis,fire_killed resprouts
Indigofera australis,fire_killed
Isolepis cernua,resprouts
Isolepis cernua,resprouts
Isolepis cernua,fire_killed
Isolepis cernua,fire_killed
Isolepis cernua,fire_killed
Isolepis cernua,fire_killed
Jacksonia scoparia,resprouts
Jacksonia scoparia,resprouts
Juncus bufonius,fire_killed
Juncus bufonius,fire_killed
Juncus bufonius,fire_killed
Juncus bufonius,fire_killed
Juncus bufonius,fire_killed
Juncus planifolius,resprouts
Juncus planifolius,resprouts
Juncus planifolius,fire_killed
Juncus planifolius,fire_killed
Juncus subsecundus,resprouts
Juncus subsecundus,resprouts
Juncus subsecundus,resprouts
Juncus subsecundus,resprouts
Juncus subsecundus,resprouts
Juncus usitatus,resprouts
Juncus usitatus,resprouts
Kennedia rubicunda,resprouts
Kennedia rubicunda,fire_killed
Kennedia rubicunda,fire_killed
Kennedia rubicunda,partial_resprouting
Kunzea ambigua,fire_killed
Kunzea ambigua,fire_killed
Kunzea ambigua,fire_killed
Kunzea ambigua,fire_killed
Kunzea ambigua,fire_killed
Lachnagrostis filiformis,fire_killed
Lachnagrostis filiformis,resprouts
Lachnagrostis filiformis,fire_killed resprouts
Lachnagrostis filiformis,resprouts
Lachnagrostis filiformis,fire_killed
Lachnagrostis filiformis,fire_killed
Lachnagrostis filiformis,fire_killed
Lachnagrostis filiformis,fire_killed
Lasiopetalum parviflorum,fire_killed
Lasiopetalum parviflorum,fire_killed
Lasiopetalum parviflorum,partial_resprouting
Laxmannia gracilis,fire_killed
Laxmannia gracilis,partial_resprouting
Laxmannia gracilis,fire_killed
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Lepidosperma laterale,resprouts
Leptospermum polygalifolium,resprouts
Leptospermum polygalifolium,resprouts
Leptospermum polygalifolium,resprouts
Leptospermum trinervium,resprouts
Leptospermum trinervium,resprouts
Leptospermum trinervium,resprouts
Leptospermum trinervium,resprouts
Leptospermum trinervium,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon affinis,resprouts
Leucopogon juniperinus,fire_killed
Leucopogon juniperinus,fire_killed
Leucopogon juniperinus,partial_resprouting
Leucopogon juniperinus,fire_killed
Linum marginale,resprouts
Linum marginale,resprouts
Linum marginale,partial_resprouting
Linum marginale,fire_killed
Lissanthe strigosa,resprouts
Lissanthe strigosa,resprouts
Lobelia anceps,fire_killed
Lobelia anceps,resprouts
Lobelia anceps,partial_resprouting
Lobelia anceps,fire_killed
Lobelia anceps,fire_killed
Lobelia anceps,fire_killed
Lobelia purpurascens,resprouts
Lobelia purpurascens,resprouts
Lobelia purpurascens,resprouts
Lobelia purpurascens,resprouts
Lomandra filiformis,resprouts
Lomandra filiformis,resprouts
Lomandra filiformis,resprouts
Lomandra filiformis,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra longifolia,resprouts
Lomandra multiflora,resprouts
Lomandra multiflora,resprouts
Lomandra multiflora,resprouts
Lythrum hyssopifolia,fire_killed
Lythrum hyssopifolia,fire_killed
Lythrum hyssopifolia,fire_killed
Macrozamia spiralis,resprouts
Macrozamia spiralis,resprouts
Macrozamia spiralis,resprouts
Melaleuca decora,resprouts
Melaleuca diosmatifolia,resprouts
Melaleuca linariifolia,resprouts
Melaleuca linariifolia,resprouts
Melaleuca linariifolia,resprouts
Melaleuca linariifolia,fire_killed resprouts
Melaleuca linariifolia,resprouts
Melaleuca nodosa,resprouts
Melaleuca nodosa,resprouts
Melaleuca nodosa,resprouts
Melaleuca nodosa,resprouts
Melaleuca styphelioides,resprouts
Melaleuca styphelioides,resprouts
Melaleuca styphelioides,resprouts
Melaleuca thymifolia,resprouts
Melaleuca thymifolia,resprouts
Melaleuca thymifolia,resprouts
Mentha diemenica,resprouts
Mentha diemenica,resprouts
Mentha diemenica,resprouts
Mentha diemenica,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Microlaena stipoides,resprouts
Muellerina eucalyptoides,fire_killed
Muellerina eucalyptoides,resprouts
Muellerina eucalyptoides,fire_killed
Myoporum boninense,fire_killed
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Myrsine variabilis,resprouts
Notelaea longifolia,resprouts
Notelaea longifolia,resprouts
Notelaea longifolia,resprouts
Notelaea longifolia,resprouts
Notelaea ovata,resprouts
Notelaea ovata,resprouts
Olearia microphylla,resprouts
Olearia microphylla,fire_killed
Olearia microphylla,partial_resprouting
Olearia microphylla,fire_killed
Olearia viscidula,resprouts
Olearia viscidula,resprouts
Olearia viscidula,fire_killed
Opercularia diphylla,partial_resprouting
Opercularia diphylla,fire_killed
Opercularia varia,fire_killed
Opercularia varia,fire_killed
Opercularia varia,resprouts
Opercularia varia,resprouts
Opercularia varia,partial_resprouting
Opercularia varia,resprouts
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,resprouts
Oplismenus hirtellus,resprouts
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oplismenus hirtellus,fire_killed
Oxalis perennans,resprouts
Oxalis perennans,resprouts
Oxalis perennans,fire_killed resprouts
Oxalis perennans,resprouts
Oxalis thompsoniae,fire_killed
Ozothamnus diosmifolius,resprouts
Ozothamnus diosmifolius,resprouts
Ozothamnus diosmifolius,fire_killed
Ozothamnus diosmifolius,partial_resprouting
Ozothamnus diosmifolius,fire_killed
Ozothamnus diosmifolius,fire_killed
Pandorea pandorana,fire_killed
Pandorea pandorana,resprouts
Pandorea pandorana,resprouts
Pandorea pandorana,resprouts
Pandorea pandorana,partial_resprouting
Pandorea pandorana,resprouts
Panicum simile,resprouts
Panicum simile,resprouts
Panicum simile,resprouts
Panicum simile,resprouts
Paspalidium criniforme,resprouts
Paspalidium distans,resprouts
Pelargonium inodorum,fire_killed
Pelargonium inodorum,fire_killed
Pellaea falcata,resprouts
Pellaea falcata,resprouts
Pellaea falcata,resprouts
Pellaea falcata,resprouts
Pellaea falcata,resprouts
Persicaria decipiens,resprouts
Persicaria decipiens,resprouts
Persicaria decipiens,resprouts
Persicaria lapathifolia,resprouts
Persicaria lapathifolia,fire_killed
Persicaria lapathifolia,fire_killed
Persicaria lapathifolia,fire_killed
Persoonia linearis,resprouts
Persoonia linearis,resprouts
Persoonia linearis,resprouts
Persoonia linearis,resprouts
Persoonia linearis,resprouts
Persoonia linearis,resprouts
Phragmites australis,resprouts
Phragmites australis,resprouts
Phragmites australis,resprouts
Phragmites australis,resprouts
Phragmites australis,resprouts
Phragmites australis,resprouts
Phyllanthus gunnii,resprouts
Phyllanthus gunnii,resprouts
Phyllanthus gunnii,resprouts
Phyllanthus gunnii,resprouts
Phyllanthus gunnii,fire_killed
Phyllanthus gunnii,fire_killed
Pimelea linifolia,resprouts
Pimelea linifolia,resprouts
Pimelea linifolia,fire_killed
Pimelea linifolia,fire_killed
Pimelea linifolia,fire_killed
Pimelea linifolia,partial_resprouting
Pimelea linifolia,fire_killed
Pimelea linifolia,resprouts
Pimelea linifolia,resprouts
Pittosporum multiflorum,resprouts
Pittosporum multiflorum,resprouts
Pittosporum revolutum,resprouts
Pittosporum revolutum,resprouts
Pittosporum revolutum,resprouts
Pittosporum revolutum,fire_killed resprouts
Pittosporum revolutum,fire_killed
Pittosporum undulatum,resprouts
Pittosporum undulatum,resprouts
Pittosporum undulatum,resprouts
Pittosporum undulatum,partial_resprouting
Pittosporum undulatum,partial_resprouting
Pittosporum undulatum,resprouts
Pittosporum undulatum,fire_killed
Plantago debilis,resprouts
Plantago debilis,fire_killed
Plantago debilis,resprouts
Plectranthus parviflorus,fire_killed
Plectranthus parviflorus,fire_killed
Plectranthus parviflorus,fire_killed
Plectranthus parviflorus,fire_killed
Plectranthus parviflorus,fire_killed
Poa sieberiana,resprouts
Poa sieberiana,resprouts
Polymeria calycina,resprouts
Polymeria calycina,resprouts
Polymeria calycina,resprouts
Polymeria calycina,resprouts
Polyscias sambucifolia,resprouts
Polyscias sambucifolia,resprouts
Polyscias sambucifolia,resprouts
Polyscias sambucifolia,resprouts
Polyscias sambucifolia,fire_killed resprouts
Polyscias sambucifolia,resprouts
Pomaderris ferruginea,fire_killed
Pomaderris ferruginea,fire_killed
Pomaderris ferruginea,fire_killed
Pomaderris ferruginea,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,partial_resprouting
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Poranthera microphylla,fire_killed
Portulaca oleracea,resprouts
Portulaca oleracea,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pseudognaphalium luteoalbum,fire_killed
Pteridium esculentum,resprouts
Pteridium esculentum,resprouts
Pteridium esculentum,resprouts
Pteridium esculentum,resprouts
Pteridium esculentum,resprouts
Pteridium esculentum,fire_killed
Pteridium esculentum,resprouts
Pteridium esculentum,resprouts
Pterostylis nutans,resprouts
Pterostylis nutans,resprouts
Pterostylis nutans,resprouts
Pterostylis nutans,resprouts
Pterostylis nutans,resprouts
Pterostylis nutans,resprouts
Pultenaea villosa,fire_killed
Pultenaea villosa,fire_killed
Pultenaea villosa,fire_killed
Pultenaea villosa,fire_killed
Rubus parvifolius,resprouts
Rubus parvifolius,resprouts
Rubus parvifolius,resprouts
Rubus parvifolius,resprouts
Rubus parvifolius,resprouts
Rumex brownii,resprouts
Rumex brownii,resprouts
Rumex brownii,resprouts
Rumex brownii,resprouts
Rumex brownii,resprouts
Rumex brownii,resprouts
Rytidosperma fulvum,resprouts
Rytidosperma setaceum,resprouts
Rytidosperma setaceum,resprouts
Rytidosperma setaceum,resprouts
Rytidosperma setaceum,resprouts
Rytidosperma setaceum,resprouts
Rytidosperma setaceum,fire_killed
Rytidosperma setaceum,resprouts
Rytidosperma tenuius,resprouts
Rytidosperma tenuius,resprouts
Rytidosperma tenuius,resprouts
Sarcopetalum harveyanum,resprouts
Sarcopetalum harveyanum,resprouts
Sarcopetalum harveyanum,resprouts
Sarcopetalum harveyanum,resprouts
Sarcopetalum harveyanum,resprouts
Sarcopetalum harveyanum,resprouts
Scaevola albida,resprouts
Scaevola albida,fire_killed
Scaevola albida,fire_killed
Scaevola albida,fire_killed
Scaevola albida,fire_killed
Schoenus apogon,resprouts
Schoenus apogon,fire_killed
Schoenus apogon,fire_killed
Schoenus apogon,fire_killed resprouts
Schoenus apogon,fire_killed
Schoenus apogon,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,partial_resprouting
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Senecio hispidulus,fire_killed
Solenogyne bellioides,resprouts
Stackhousia muricata,fire_killed
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Themeda triandra,resprouts
Thysanotus tuberosus,resprouts
Thysanotus tuberosus,resprouts
Triglochin striata,resprouts
Triglochin striata,resprouts
Triglochin striata,resprouts
Triglochin striata,resprouts
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Typha orientalis,resprouts
Typha orientalis,resprouts
Typha orientalis,resprouts
Veronica plebeia,resprouts
Veronica plebeia,resprouts
Veronica plebeia,resprouts
Vincetoxicum barbatum,resprouts
Vincetoxicum barbatum,resprouts
Vincetoxicum barbatum,resprouts
Vittadinia cuneata,fire_killed
Vittadinia cuneata,resprouts
Vittadinia cuneata,fire_killed
Vittadinia cuneata,fire_killed
Vittadinia cuneata,fire_killed
Wahlenbergia gracilis,fire_killed
Wahlenbergia gracilis,fire_killed resprouts
Wahlenbergia gracilis,resprouts
Xanthorrhoea minor,resprouts
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,resprouts
Zieria smithii,fire_killed
Zieria smithii,partial_resprouting
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zornia dyctiocarpa,resprouts
